Sort,ID,Type,Input Text,Explanation,What does the model predict?,"How helpful do you find the explanation for guessing the model prediction?

1 (not helpful) 
- 7 (very helpful)","How easy is the explanation to understand?


1 (very difficult) 
- 7 (very easy)"
,23,HM,,,,,
,23,SMV,"""felix in hollywood is a great film . the version i viewed was very well restored , which is sometimes a problem with these silent era animated films . it has some of hollywood ' s most famous stars making cameo animated appearances . a must for any silent film or animation enthusiast .""","The span » in hollywood is a great film . the « 
is most important for the prediction.",,,
1,1994,GPT,i would just like to say that the cure was a fabulious movie to help inform how people who are hiv positive have to function in life . expecially a young boy who can t go to school because he could contaminate someone . and the ignorance of the boys who called them faggots . that just shows how much children are not educated about aids .,"The sentiment analyzer has predicted this movie review as '{placeholder}' because 
there are several {placeholder} words with high importance scores such as ""fa"", ""bu"", ""lio"", ""us"", ""positive"", ""ignorance"", ""fa"", ""gg"", ""ots"", ""not"", and ""aids"". Additionally, there are several words with negative importance scores such as ""life"", ""young"", ""can't"", ""ignorance"", ""much"", and ""children"". These words contribute to the {placeholder} sentiment of the review.",Positive sentiment,1,4
2,3718,GPT,evil warlord puts a town through pain and suffering . not long before they call upon giant stone samurai daimaijin for help . daimaijin soon comes and really gets the warlord with all his viscious might . the revenge climax is really funny as daimajin squashes guys under his feet and crushes guys with his fist and even drives a spike though a man ' s heart .,"The sentiment analyzer has predicted this movie review as '{placeholder}' because 
the words with positive importance scores outweigh the words with negative importance scores. The words ""town"", ""pain"", ""suffering"", ""help"", ""might"", and ""funny"" have positive importance scores, while only the words ""evil"", ""warlord"", ""samurai"", ""climax"", ""revenge"", and ""crush"" have negative importance scores. Additionally, the high importance score of 2.14 for the word ""funny"" suggests that the humor in the movie had a significant impact on the sentiment analysis.",Negative sentiment,5,6
,43,HM,,,,,
,43,SMV,"""as a history of custer , this insn't even close ( custer dies to help the indians ? i am sure the other members of the 7th cav weren' t consulted in that decision . ) but as a western , this is fun . flynn looks , and acts , the part of the dashing cavalier . and the """" garry owen """" is always nice to hear !""","The phrase » is fun « 
and the word » acts « 
are most salient for the prediction.",,,
3,20590,ER,"this movie is not realistic at all , more of a comedy than a serious war film . very old - fashioned too . maybe i was just expecting it to be on a same level with "" platoon "" . i wonder , why 50 % of the voters gave it 10 ? something must be wrong .",Very expecting not Maybe %,Negative sentiment,1,1
4,14464,GPT,"i think that this was one of the most trite films ever made . no redeeming features at all . even my 12 - year - old son said it was laughable . may be a good candidate for the next generation of "" mystery science theatre . ""","The sentiment analyzer has predicted this movie review as '{placeholder}' because 
words like 'most', 'terrible', 'laughable', and 'Mystery Science Theatre' have high importance scores indicating a {placeholder} sentiment. Additionally, words like '12-year-old', 'candidate', and 'next generation' have negative importance scores indicating that they contribute to the {placeholder} sentiment of the review.",Negative sentiment,3,5
,51,HM,,,,,
,51,SMV,"""a great historical movie , will not allow a viewer to leave once you begin to watch . view is presented differently than displayed by most school books on this subject . my only fault for this movie is it was photographed in black and white ; wished it had been in color . . . wow !""",The span » color . . . « is most important for the prediction. The phrase » only fault « is also salient.,,,
5,3501,ER,"""this movie is all about blaxploit ation , there is absolutely no plot at all . a pimp stops some bad guys with his kung fu hoes to try to get his nightclub back . rated r for strong language , and a brief sexual situation .""",blaxploitation no absolutely all Rated,Negative sentiment,6,6
6,14404,GPT,i watched this film on the advice of a friend who assured me it was one of the funniest things he ' d ever seen . sadly this person is completely lacking a sense of humour and i was forced to endure two hours of the worst film making i have ever seen . please do not watch this film . 1 / 10,"The sentiment analyzer has predicted this movie review as '{placeholder}' because 
words like ""worst"" (0.28), ""forced"" (0.11), ""endure"" (-0.02), and ""sadly"" (0.02) have high importance scores indicating {placeholder} sentiment. Additionally, words like ""lacking"" (0.11) and ""ever"" (-0.02) also contribute to the {placeholder} sentiment.",Negative sentiment,7,7
,67,HM,,,,,
,67,SMV,"""this movie is so good ! i first seen it when i was six , then i bought it recently and i still love it , im 15 now . plus , the acting was great , and madonna is my idol and she did a phat job ! al ot of people didn t like this movie , and i still to this day don t understand why .""","The most important phrase is 
» is so good ! i first seen it «.",,,
7,16531,ER,"hargh . . . this film is so bad it ' s almost good . trash at its best . jesus ' bro vs . pimps . . . come on . i ' d say that you ' d actually have to see this , it ' s so bad . . . my sides hurt when i laughed . i can ' t understand why this isn ' t in the worst 100 .",bad bad best worst Trash,Negative sentiment,7,7
8,22550,GPT,"the "" film "" consists of the audition tapes of the "" surrender girls "" and some footage from previous films . it ' s not hot or even suitable for late night viewing on cinemax . only an adolescent boy could be interested in auditions from beyond . i recommend avoiding this one .","The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the high importance scores assigned to words such as ""not hot"", ""avoiding"", and ""only an adolescent boy could be interested"". These words have a {placeholder} connotation and contribute to the overall {placeholder} sentiment of the review. Additionally, the importance scores for words such as ""surrender girls"" and ""previous films"" suggest that the reviewer did not find the content of the movie enjoyable or engaging.",Negative sentiment,6,6
,70,HM,,,,,
,70,SMV,"""fantastic , madonna at her finest , the film is funny and her acting is brilliant . it may have been made in the 80 ' s but it has all the qualities of a modern hollywood block - buster . i love this film and i think its totally unique and will cheer up any dr oop y person within a matter of minutes . fantastic .""","The span » . i love this film and i « 
is most important for the prediction.",,,
9,3670,GPT,"""a wonderful christmas story on the moving theme of """" susie home maker finds her inner amazon . """" no , i ' m serious ! gee na davis ' s amnesia starts to improve when she is knocked on the head . from this familiar beginning , we move in an unexpected direction . good pace , good action , fun story , lots of explosions and mayhem .""","The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the high importance scores given to words like ""wonderful"", ""Christmas"", ""good pace"", ""fun story"", ""lots of explosions"", and ""mayhem"". These words have contributed {placeholder} towards the sentiment of the review. However, there are also some negative scores given to words like ""amnesia"" and ""knocked"", but they have not affected the overall {placeholder} sentiment of the review.",Positive sentiment,5,6
10,20994,ER,not the funniest movie ever . . . . . but i have to watch this film at least once a year just so i can fall in love with michelle johnson all over again . she never looked better than she did in this film . by the way the story is good too .,funniest Not good but ever,Positive sentiment,5,5
,129,HM,,,,,
,129,SMV,"""excellent performances and a solid , but not overplayed story , helped this movie exceed my expectations . this movie was far better than i was expecting after some of the reviews i had read - but frankly those reviewers just got it wrong . very inspiring and up lifting . highly recommended !""","The span 
» inspiring and uplifting . highly recommended « 
is most important for the prediction.",,,
11,129,ER,"""excellent performances and a solid , but not overplayed story , helped this movie exceed my expectations . this movie was far better than i was expecting after some of the reviews i had read - but frankly those reviewers just got it wrong . very inspiring and up lifting . highly recommended !""",Excellent inspiring Highly Very uplifting,Positive sentiment,7,7
12,16461,GPT,i´m only joking . this was potentially the worst film i have ever had the misfortune to sit through . how anybody in the 1950´s could have raised a laugh at this innane rubbish is beyond my comprehension . i jest not .,"The sentiment analyzer has predicted this movie review as '{placeholder}' because 
words like ""worst"", ""misfortune"", ""sit through"", ""innane"", and ""rubbish"" have high importance scores indicating their contribution towards the {placeholder} sentiment. Additionally, the word ""1950s"" has a negative importance score indicating that the reviewer believes that even movies from that era were better than this one.",Negative sentiment,7,7
,326,HM,,,,,
,326,SMV,a wonderful story about the consequences of obsessive love with the beautiful romantic back streets of paris as its location . we ' re transported through time and see the plot develop from the perspectives of the three main characters as the mystery unwinds .,"The words » wonderful « and » love « 
are most important for the sentiment label.",,,
13,51,GPT,"""a great historical movie , will not allow a viewer to leave once you begin to watch . view is presented differently than displayed by most school books on this subject . my only fault for this movie is it was photographed in black and white ; wished it had been in color . . . wow !""","The sentiment analyzer has predicted this movie review as '{placeholder}' because words such as 'great', 'historical', 'viewer', 'begin', 'subject', 'fault', and 'movie' have high importance scores. These words indicate that the review has {placeholder} opinions about the movie and its historical significance, and that it is engaging for the viewer. Additionally, the use of 'wow' and exclamation marks at the end of the review also suggest a {placeholder} sentiment. However, the importance scores also indicate that the reviewer had a {placeholder} opinion about the movie being in black and white, but this was not enough to override the overall {placeholder} sentiment.",Positive sentiment,7,7
