Sort,ID,Type,Input Text,Explanation,What does the model predict?,"How helpful do you find the explanation for guessing the model prediction?

1 (not helpful) - 7 (very helpful)","How easy is the explanation to understand?


1 (very difficult) - 7 (very easy)"
1,5839,HM,,,Business,6,5
2,3155,HM,,,Business,6,6
3,4222,HM,,,Business,7,6
4,3867,GPT,"""oil rallies to new record high crude oil futures rallied late friday to a new record high of \ $ 54 . 90 , a day after a decline in the us inventory of heating oil roiled a market already on edge over tight supplies , high demand and unrest among key producers .""","The importance scores show that the words 'oil', 'record high', 'futures', 'market', 'supplies', 'demand', and 'producers' have higher scores, indicating that they are more important in predicting the '{placeholder}' topic. This suggests that the article is likely discussing the {placeholder} implications of the oil market, including supply and demand dynamics and the impact on producers.",Business,7,6
5,5373,SMV,"""firefox roars from the gates tuesday , november 9 , 2004 will likely go down in the history books as the day the browser wars officially started . obviously things happened before today to get us to the point where there was a real , legitimate""","The words 
» browser « and » firefox « 
are most important for the prediction. 
The phrase » as the « is also salient.",Sci/Tech,5,6
6,4102,GPT,"""ancient fungus ' revived ' in lab fungus from a deep - sea sediment core that is hundreds of thousands of years old will grow when placed in culture , scientists discover .""","The importance scores suggest that the article contains {placeholder} information, as words such as ""lab"", ""culture"", and ""scientists"" have higher importance scores. Additionally, the mention of a ""revived"" ancient fungus and its ability to grow in culture also suggest a {placeholder} discovery. The topic classifier likely predicted this article as '{placeholder}' based on these indicators.",Sci/Tech,6,7
7,4862,HM,,,Sci/Tech,5,6
8,5895,HM,,,Sci/Tech,7,7
9,5674,SMV,will hutton there were two stories last week that will have world - shaping implications . the first was in a paris hospital and a compound in ramallah .,The word » hutton « is most important for the prediction. The phrase » paris hospital « is also salient.,World,1,6
10,5674,HM,,,World,5,6
11,5456,GPT,"""two michigan state receivers arrested on bomb - making charges two michigan state football players have been charged with planting homemade bombs outside apartments . terry love and irving campbell , both 19 - year - old redshirt freshmen wide receivers""","The importance scores suggest that the article is about Michigan State football players being charged with planting bombs outside apartments. While the scores for ""football"" and ""players"" are the highest, the scores for ""receivers"" and ""arrested"" are also high, indicating that the topic of football players being arrested is important in this article. Therefore, the topic classifier likely predicted this news article as '{placeholder}' because it involves football players from Michigan State University.",Sports,6,6
12,5024,GPT,fleet center to be reunion arena it has all the gossipy intrigue and social awkward ness of seating the still - respected ex - wife and the sexy new girlfriend at the same table for a family wedding .,"The importance scores suggest that the news article contains some information related to {placeholder}, such as the mention of a fleet, a reunion arena, and gossip. However, the scores also suggest that there are elements of social awkwardness and family drama, which may not typically be associated with {placeholder} news. Overall, it is difficult to determine with certainty why the topic classifier predicted this article as '{placeholder}' based solely on the importance scores.",World,1,3
13,5692,GPT,boston archbishop reveals anguish of closings boston boston # 39 ; s archbishop is telling catholics that the church # 39 ; s financial footing is quot ; much worse than people realize .,"The importance scores suggest that the {placeholder} situation of the church is a significant factor in this news article, with the words ""financial"" and ""footing"" receiving high importance scores. Additionally, the word ""closing"" suggests that there may be {placeholder}-related decisions being made regarding the church's operations. Therefore, the topic classifier likely predicted this news article as '{placeholder}' due to the focus on {placeholder} and operational aspects of the church.",Business,5,7
14,5509,HM,,,Sports,6,6
15,5895,SMV,"""science counts species on brink a list of 15 , 000 species threatened with extinction - many of them by human activity - is published .""","The words 
» published «, » threatened « and » extinction «
are the top three most important features for the model.",Sci/Tech,3,4
16,3867,HM,,,Business,5,5
17,5356,HM,,,World,6,7
18,3577,SMV,"""insurance giant to export 1 , 100 jobs to india one of the countrys biggest insurance firms today announced plans to transfer more than 1 , 100 jobs to india over the next few years , sparking fears of a crisis in the uk .""","The words most important in this article are 
» jobs «, » firms « and » india «.",Business,6,6
19,6184,GPT,"""local knowledge produced benefits patriots fans had one of their own working sunday ' s regular - season finale against the 49ers . fox producer p . t . navarro considers himself a new englander , even though he moved around the country as the son of college football coach frank navarro ( columbia , wabash , princeton ) .""","The importance scores indicate that the article is related to football, specifically the New England Patriots' regular season finale against the San Francisco 49ers. The mention of a Fox producer and a football coach further support the {placeholder} topic. The high importance score for ""football"" and ""coach"" also suggest that this article is likely related to {placeholder}.",Sports,7,7
20,5395,SMV,"trojan horse drives spam into cell phones infected computers send out a slew of unwanted text messages , a security firm says .","The two phrases » cell phones « 
and » text messages « 
are salient for the model prediction.",Sci/Tech,6,5
