ID,Sort Index,Input Text,Explanation,What does the model predict?,"How helpful do you find the explanation for guessing the model prediction?

1 (not helpful) - 7 (very helpful)","How easy is the explanation to understand?


1 (very difficult) - 7 (very easy)"
5509,1,,,Sports,7,7
6581,2,,,Sci/Tech,7,7
1919,3,"forecasters : more hurricanes may be on way ivan , frances and charley delivered three staggering blows to the gulf coast and florida , as well as caribbean island nations , all in just five weeks .",The word » hurricanes « is most important for the prediction. The phrase » charley delivered « is also salient. The word » florida « is also salient.,World,7,7
4030,4,,,Business,7,7
1317,5,florida deaths blamed on hurricane frances state and local officials tuesday said nine people have died in florida because of hurricane frances . the following describes those deaths : - a 15 - year - old grandson and a former son,The word » deaths « is most important for the prediction. The word » officials « is also salient. The word » deaths « is also salient.,World,7,7
2660,6,,,Business,7,7
6776,7,,,World,7,7
1427,8,,,World,1,1
3883,9,,,Sci/Tech,5,5
4687,10,,,Business,2,2
3672,11,rumors suggest photo ability to be added to ipod quo t ; apple has invested heavily in technology to edit pictures . not having a portable device to show them seemed an obvious oversight that would be corrected once the price of the displays,The phrase » suggest photo ability « is most important for the prediction. The word » the « is also salient.,Sci/Tech,4,4
1252,12,retailers looking to move plasma tv ' s ( ap ) ap - hanging stockings by the chimney with care ? retailers hope that st . nicholas soon will be there  151 ; to hang a 42 - inch plasma - screen tv .,The word » retailers « is most important for the prediction. The phrase » stockings by « is also salient. The phrase » to move « is also salient.,Business,7,7
6830,13,"conte goes on tv and names names as the bassist for the pop - funk band tower of power , victor conte laid down a song 's backbone by playing a predetermined series of notes .",The word » song « is most important for the prediction. The word » victor « is also salient. The word » band « is also salient.,World,7,7
2723,14,,,Sports,7,7
2523,15,fans honour legend clough thousands of football fans fell silent today to honour the life and achievements of legendary manager brian clough . a public tribute was held in nottingham city centre and a minute,The phrase » football fans « is most important for the prediction. The phrase » of legendary « is also salient. The character » a « is also salient.,Sports,7,7
1029,16,google shares down ahead of first lockup expiry shares in newly public google inc . fell 2 percent on wednesday as investors braced for the expiration of a lockup period that has kept insiders at the web search company from selling stock .,The phrase » web search company « is most important for the prediction. The character » . « is also salient.,Business,7,7
1785,17,,,Sports,7,7
254,18,"economic indicators declined in july a closely watched measure of future economic activity fell in july for the second consecutive month , reinforcing evidence that the nation 's financial recovery is slackening .",The word » economic « is most important for the prediction. The word » slack « is also salient.,Business,7,7
1480,19,,,Business,7,7
689,20,,,World,5,5
2357,21,mass . court denies new trial for convict boston - - the state appeals court on thursday declined to allow a new trial for a father convicted of beating a man to death at their sons  39 ; hockey practice .,The phrase » hockey practice « is most important for the prediction. The phrase » their sons # « is also salient.,World,1,1
1840,22,"icing call out of money , out of patience , out of time , and for the foreseeable future , out of business .",The phrase » of business « is most important for the prediction. The phrase » of money « is also salient.,Business,7,7
1961,23,,,Business,7,7
3672,24,,,Sci/Tech,1,1
5819,25,,,Sci/Tech,5,5
65,26,,,World,7,7
6627,27,,,Sports,7,7
2613,28,,,Business,7,7
5509,29,"two michigan st football players arrested east lansing , michigan ( ticker ) - two michigan state football players were arrested tuesday morning for planting three homemade "" macgyver bombs "" outside a campus apartment .",The phrase » football players were arrested tuesday « is most important for the prediction. The word » players « is also salient.,Sports,7,7
5886,30,,,Business,7,7
5695,31,,,World,7,7
120,32,,,Business,7,7
6142,33,"market not ready to cheer despite announcing the biggest news in its short history , osi pharmaceuticals stock fell nearly 10 percent friday , as some investors grew nervous about whether its newly approved cancer drug would be the bonanza they expected .","The phrase » stock fell « is most important for the prediction. The character » , « is also salient. The word » investors « is also salient.",Business,7,7
75,34,"jury can hear of kobe accuser ' s sex life ( ap ) ap - prosecutors suffered another setback monday in the kobe bryant sexual assault case , losing a last - ditch attempt to keep the nba star 's lawyers from telling jurors about the alleged victim 's sex life .",The phrase » nba star « is most important for the prediction. The phrase » kobe bryant « is also salient. The word » kobe « is also salient.,Sports,7,7
1691,35,,,Business,7,7
6456,36,,,World,7,7
6405,37,,,World,7,7
1989,38,,,Business,7,7
1961,39,boxer begs bush to back bum bill members of california ' s congressional team make one last effort to look good for the tech industry back home .,The phrase » tech industry « is most important for the prediction. The word » congressional « is also salient.,Business,7,7
5356,40,,,World,7,7
4862,41,aol ' s viral marketing america online will now provide gratis antivirus protection to its subscribers .,The word » online « is most important for the prediction. The word » viral « is also salient.,Sci/Tech,4,4
6943,42,"millions to miss out on the net around 40 of the uk will still be without internet access at home by 2025 , warns a study by telecoms giant bt .",The character » . « is most important for the prediction. The word » giant « is also salient. The word » internet « is also salient.,Sci/Tech,1,1
4687,43,"will tellabs push its luck ? perhaps the optical network supplier should call off its merger with afc .,The word » afc « is most important for the prediction.",The word » afc « is most important for the prediction. The word » optical « is also salient. The character » ? « is also salient.,Business,1,1
4912,44,"cast-aside candidates grab onto sox coattails by raphael lewis and benjamin gedan , globe staff and globe correspondent october 31 , 2004 . republican state senate candidate rod jane of westborough woke up yesterday with a plan to grab some attention from",The phrase » onto sox coat « is most important for the prediction. The word » attention « is also salient. The phrase » by raphael « is also salient.,World,1,1
2190,45,,,Business,7,7
1691,46,"german investor confidence slumped in september berlin - german investor confidence dropped sharply in september , a key economic indicator released tuesday showed amid concerns about the impact of high oil prices on consumer demand and the outlook for the global economy .",The word » economy « is most important for the prediction. The word » investor « is also salient. The word » oil « is also salient.,Business,7,7
5975,47,"new york unveils last , best bid to gain the olympics in 2012 leaders of the nyc2012 committee highlighted new york ' s advantages in multiculturalism , money and media power .",The phrase » the olympics in 2012 « is most important for the prediction.,Sports,7,7
6921,48,oil falls to 4 - month low on signs of heating - oil supply rise crude oil fell to the lowest in more than four months on speculation that warm weather and increased refinery production bo lster ed us heating - oil stock pile s last week .,The word » rise « is most important for the prediction. The word » oil « is also salient. The word » oil « is also salient.,Business,7,7
6581,49,"space station crew moves rescue capsule the maneuver frees the hatch on the docking station that the crew members will use for work sorties in january and march . in addition , the launch of an unmanned progress cargo ship has been postponed one day to december 24 .",The character » . « is most important for the prediction. The phrase » docking station « is also salient.,Sci/Tech,3,3
311,50,,,Sports,2,2
1427,51,"teenager charged with creating sasser informants , seeking a reward from microsoft , led police to the german student .","The phrase » microsoft , « is most important for the prediction. The span » student . « is also salient.",World,1,1
5886,52,"producer price surge fuels inflation fears producer prices surged 1 . 7 percent in october , their sharpest monthly increase in nearly 15 years .","The phrase » producer prices « is most important for the prediction. The character » , « is also salient.",Business,7,7
6802,53,"notre dame to interview utah 's meyer university of notre dame officials are apparently prepared to interview utah football coach urban meyer as early as tonight , only two days after the school fired coach tyrone willing ham after three seasons .",The phrase » utah football coach « is most important for the prediction. The phrase » ham after « is also salient.,Sports,6,6
676,54,us edge out brazil for gold the united states beat brazil 2 - 1 in extra time to win the women ' s olympic football tournament .,The phrase » olympic football tournament « is most important for the prediction. The word » the « is also salient.,Sports,6,6
5981,55,"india desperate for jobs , infrastructure despite economic boom ( afp ) afp - despite india ' s economic boom in software and outsourcing services , economists have warned the government needs more reforms to create jobs in manufacturing to cut poverty .",The phrase » in software « is most important for the prediction.,Business,7,7
5024,56,,,World,1,1
6405,57,"madrid miffed ! the organisers of madrid 's bid complained that paris had broken the rules by using france ' s embassies in oslo and kuwait to hold events to promote its candidacy , the newspaper said .",The word » france « is most important for the prediction. The word » paris « is also salient. The word » candidacy « is also salient.,World,7,7
857,58,,,World,1,1
2613,59,"embattled mortgage giant agrees to meet new standards fannie mae agreed to keep more cash on hand while it corrects accounting problems , a u.s. regulator said .",The phrase » cash on hand « is most important for the prediction. The word » mortgage « is also salient.,Business,7,7
5078,60,,,World,7,7
2812,61,,,Business,7,7
3090,62,,,Business,7,7
