ID,Sort Index,Input Text,Explanation,What does the model predict?,"How helpful do you find the explanation for guessing the model prediction?

1 (not helpful) - 7 (very helpful)","How easy is the explanation to understand?


1 (very difficult) - 7 (very easy)"
14527,1,". . . but you can see it from here . < br / > < br / > i definitely don ' t understand why anyone would recommend this movie . not a bit of plot , not suspenseful , not well - made . no point to having made it , really . < br / > < br / > completely forgettable in ever way .","The span » movie . « is most important for the prediction. The phrase » , not well « is also salient.",Negative sentiment,7,6
1110,2,the theme is controversial and the depiction of the hypocritical and sexually starved india is excellent . nothing more to this film . there is a lack of good dialogues ( why was the movie in english ? ? ) . there was lack of continuity and lack of passion / emotion in the acting .,The span » india is excellent . « is most important for the prediction.,Positive sentiment,7,6
326,6,a wonderful story about the consequences of obsessive love with the beautiful romantic back streets of paris as its location . we ' re transported through time and see the plot develop from the perspectives of the three main characters as the mystery unwinds .,The word » wonderful « is most important for the prediction. The word » love « is also salient.,Positive sentiment,7,6
9467,7,". . . because while i thoroughly enjoyed this film , it seems from other user comments that i ' m in the minority . maybe not one for the philosopher ( eek ) , there are some wonderful scenes here ( - particularly the techno ) , and the great life adventure story originally portrayed . go see for yourself !",The phrase » thoroughly enjoyed « is most important for the prediction. The phrase » the great life « is also salient.,Positive sentiment,7,6
24783,9,"i usually like period films but this one just seemed to drag and drag . i ' d perk up during rupert graves ' scenes , but vanessa redgrave just put me to sleep . < br / > < br / > i was disappointed in the film . it lacked a little "" punch "" at the end that i ' d hoped it would have .",The span » > i was disappointed in the film . « is most important for the prediction.,Negative sentiment,7,6
2677,10,"""i couldn t believe how well this kid did on screen , you will completely forget that they are actors and loose yourself in the movie . it is like watching home movies with a twist . i recomend this to everyone . highly .""",The word » highly « is most important for the prediction. The phrase » recome « is also salient.,Positive sentiment,7,6
20994,12,not the funniest movie ever . . . . . but i have to watch this film at least once a year just so i can fall in love with michelle johnson all over again . she never looked better than she did in this film . by the way the story is good too .,The phrase » way the story is good « is most important for the prediction.,Positive sentiment,7,6
1031,15,"""i just saw """" eagle ´s wing """" . i do not really know why this movie was made . what is the message of this story ? nevertheless i liked it . there are some exciting scenes in it . i appreciate a strong performance by martin sheen . harvey keitel is less convincing .""",The phrase » liked it « is most important for the prediction. The word » sheen « is also salient.,Positive sentiment,4,6
2217,17,"""the casting of robert culp is probably the only decent move the production team made with this film . falk and culp were marvellous , but as culp was not falks nemesis this time , chemistry was lacking . columbo is only as strong as his opposite number , and this time he didn ' t have one .""",The span » chemistry was lacking . « is most important for the prediction. The phrase » made with this « is also salient.,Negative sentiment,5,6
24782,18,"can you say "" boring "" with a capital b ! it ' s slower than watching grass grow ! it ' s more boring than watching paint dry ! you ' ll sleep right through it . . . . . we all did . . . . . don ' t do it . . . you ' ll regret it !",The phrase » more boring « is most important for the prediction. The phrase » it ' « is also salient.,Negative sentiment,5,6
3857,3,,,Positive sentiment,7,7
23060,4,,,Positive sentiment,7,7
4688,5,,,Positive sentiment,7,7
43,8,,,Positive sentiment,5,7
20692,11,,,Negative sentiment,7,7
23,13,,,Positive sentiment,5,7
24678,14,,,Negative sentiment,7,7
14404,16,,,Negative sentiment,7,7
